gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
9530053A07Rik	10.850593673186436	8.933780242499887	6.086287916709482	11.729160360995147	6.234506053812265	9.0	8.950179345830959	3.146565252252759	6.979104785548019	7.176492924161476
9530059O14Rik	7.957102027003387	11.060870776428432	6.6155303442494375	12.380780381050434	12.46901210762453	9.0	6.961250602312968	4.894657059059847	6.979104785548019	10.316208578482122
9530068E07Rik	11.573966584732199	12.762543203571267	12.437197047188942	16.942120521437435	11.57836838565135	7.0	23.867144922215893	25.52214037938349	27.480225093095324	39.91924189064821
9530077C05Rik	11.93565304050508	8.508362135714178	7.938636413099324	11.077540340939862	5.343862331839085	10.0	10.441875903469453	11.187787563565365	15.266791718386292	11.213270194002305
9530080O11Rik	24.23299253678304	30.63010368857104	57.422803388085114	46.91664144398059	75.70471636772037	26.0	112.871706194646	82.50993328129456	96.83507889947876	145.77251252202998
9530082P21Rik	12.297339496277962	14.464215630714103	14.554166757348762	18.896980581603295	16.031586995517255	17.0	18.894823063420915	17.131299706709466	21.373508405740807	36.77952623632756
9530091C08Rik	7.595415571230506	10.210034562857015	4.763181847859595	9.774300300829289	7.125149775785446	6.0	5.469554044674475	4.195420336337012	4.798134540064263	3.588246462080738
9630013A20Rik	5.425296836593218	5.530435388214216	7.40939398555937	4.561340140387002	3.562574887892723	6.0	3.977857487035982	6.293130504505518	6.542910736451268	5.382369693121107
9630028B13Rik	11.212280128959318	10.210034562857015	9.790984909489167	11.077540340939862	8.015793497758628	11.0	15.41419776226443	8.390840672674024	11.777239325612282	8.970616155201846
9630028H03Rik	10.850593673186436	5.955853494999925	6.880151558019415	6.516200200552859	7.125149775785446	6.0	6.464018416433471	6.642748865866936	6.542910736451268	7.176492924161476
